/file/	C:\Users\Федор\Desktop\Ю4-6_ЭН\Ю4-6_РД_ЭН_План наружного освещения.dwg
//HANDLE	NAME_BLOCK	NAME_INSIDE	LAYER	POINT	ANGLE	Массштаб	Distance1	Angle1	Position1 X	Position1 Y	H_Text	Angle2	N_PYLON	GROUP	POWER	TYPE	NAME	MANUFACTURER	SPECIFICATION_SECTION
379DA	опора_промежуточная 0.4	*U62	ЭО_Пл_Опора	(1.03354e+008 1.05025e+008 0.0)	0	1:500	625.0	3.14159	838.618	-758.303	1500.0	0.100158	N2_38				опора		
378B6	опора_промежуточная 0.4	*U60	ЭО_Пл_Опора	(1.03354e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	1755.16	592.366	1500.0	0.100158	N2_37				опора		
37618	опора_промежуточная 0.4	*U420	ЭО_Пл_Опора	(1.0333e+008 1.05055e+008 0.0)	0	1:500	625.0	3.14159	1208.05	-2548.47	1500.0	0.100158	N2_41				опора		
375B0	опора_промежуточная 0.4	*U414	ЭО_Пл_Опора	(1.03414e+008 1.05079e+008 0.0)	0	1:500	625.0	3.14159	657.093	1718.85	1500.0	0.100158	N2_08				опора		
3757C	опора_промежуточная 0.4	*U58	ЭО_Пл_Опора	(1.034e+008 1.05041e+008 0.0)	0	1:500	625.0	3.14159	919.2	1362.53	1500.0	0.100158	N2_35				опора		
37548	опора_промежуточная 0.4	*U417	ЭО_Пл_Опора	(1.03373e+008 1.05055e+008 0.0)	0	1:500	625.0	3.14159	1333.71	-622.528	1500.0	0.100158	N2_36				опора		
3752E	опора_промежуточная 0.4	*U41	ЭО_Пл_Опора	(1.03373e+008 1.05041e+008 0.0)	0	1:500	625.0	3.14159	1333.71	164.491	1500.0	0.100158	N2_34				опора		
37514	опора_промежуточная 0.4	*U61	ЭО_Пл_Опора	(1.03373e+008 1.05025e+008 0.0)	0	1:500	625.0	3.14159	1586.31	-238.195	1500.0	0.100158	N2_33				опора		
374FA	опора_промежуточная 0.4	*U418	ЭО_Пл_Опора	(1.03373e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	1333.71	755.669	1500.0	0.100158	N2_32				опора		
367D4	опора_промежуточная 0.4	*U416	ЭО_Пл_Опора	(1.03388e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	-7083.28	740.675	1500.0	0.100158	N2_31				опора		
367A0	опора_промежуточная 0.4	*U41	ЭО_Пл_Опора	(1.03455e+008 1.0517e+008 0.0)	0	1:500	625.0	3.14159	1333.71	164.491	1500.0	0.100158	n2_24				опора		
366FC	опора_промежуточная 0.4	*U141	ЭО_Пл_Опора	(1.0345e+008 1.05039e+008 0.0)	0	1:500	625.0	3.14159	728.382	434.989	1500.0	0.100158	N2_18				опора		
366C8	опора_промежуточная 0.4	*U78	ЭО_Пл_Опора	(1.0345e+008 1.05005e+008 0.0)	0	1:500	625.0	3.14159	1333.71	1376.04	1500.0	0.100158	N2_16				опора		
